,Unnamed: 0,No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Fasum Rusak,year,month,Freq Kejadian
0,0,56,6104,2020-11-26,BANJIR,Kec. Mempawah Hilir Ds. Pasir,MEMPAWAH,KALIMANTAN BARAT,,•Hujan dengan intensitas tinggi dan air pasang,,,,0,0,2020,11,
1,1,65,6112,2020-11-23,BANJIR,Kec.  Sungai Ambawang Ds. Teluk Bakung Ds. Pancaroba Ds. Pasak Piang Ds. Lingga Ds. Persiapan Bakung Kuala Ds. Persiapan Lintang Batang  Kec. Kuala Mandor B Ds. Retok,KUBU RAYA,KALIMANTAN BARAT,,• Akibat hujan dengan intensitas tinggi,,,,0,0,2020,11,
2,2,117,6105,2020-11-07,BANJIR,Kec. Tayan Hulu Ds. Kedakas Ds. Pandan Sembuat,SANGGAU,KALIMANTAN BARAT,,"•Hujan dengan intensitas tinggi, meluapnya sungai Kedakas",,,,0,0,2020,11,
3,3,221,6110,2020-09-25,BANJIR,Desa Tanjung Lay Desa Kelakik Dsn. Dangkan Permai Dsn. Sepan Batu,MELAWI,KALIMANTAN BARAT,,"•Akibat hujan dengan intensitas tinggi  yang mengakibatkan air sungai Dangkan Tanjung Lay meluap, Jumat, 25 September 2020, Pkl. 22.00 WIB",,,,0,0,2020,9,
4,4,223,6103,2020-09-25,BANJIR,Kec. Menyuke Dsn. Anik Tembawang  Dsn Anak Dingir Dsn Sepat,LANDAK,KALIMANTAN BARAT,,• Akibat hujan dengan insensitas tinggi,,,,0,0,2020,9,
5,5,237,6106,2020-09-21,BANJIR,Kec. Sungai Laur (16 Desa terdampak) Kec. Simpang Dua (4 Desa terdampak) Kec.  Balai Bekuak  (4 Desa terdampak),KETAPANG,KALIMANTAN BARAT,,• Akibat hujan dengan intensitas tinggi,,,,1,1,2020,9,
6,6,243,6106,2020-09-15,BANJIR,Kec. Sungai Laur Ds. Suka Ramai,KETAPANG,KALIMANTAN BARAT,,• Akibat Curah hujan tinggi dan meluapnya sungai Laur,,,,0,0,2020,9,
7,7,244,6108,2020-09-13,BANJIR,Kec. Putussibau Utara Kel. Hilir Kantor Kel. Putussibau Kota Ds. Pala Pulau Ds. Sibau Hilir Ds. Sibau Hulu Ds. Padua Mendalam Ds. Datah Dia’an Ds. Nanga Nyabau Ds. Nanga Awin Ds. Ariung Mendalam Ds. Nanga Sambus Ds. Tanjung Beruang Ds. Tanjung Karang Ds. Tanjung Lasa Ds. Lauk Ds. Jangkang Kec. Putussibau Selatan Ds. Teluk Barak Ds. Sungai Ds. Tanjung Jati Ds. Jaras Ds. Sayut Ds Sibau Hilir Ds. Tanjiung Lasa Kel. Kedamin Hulu Kel. Kedamin Hilir  Kec. Bika  Ds. Bika Ds. Jelemuk Ds. Teluk Sindur Ds. Sa Bika Hulu Ds. Nanga Manday Ds. Melapi Manday Ds. Penyeluang Ds. Jongkong Mandai Kec. Kalis Ds. Nanga Kalis Ds. Kalis Raya Ds. Semerantau Ds. Segiam Ds. Tapang Da’an Ds. Nanga Sebintang Ds. Nanga Lebangan Ds. Nanga Raun Ds. Rantau Bumbun Ds. Peniung Kec. Embaloh Hilir Ds. Nanga Embaloh Ds. Nanga Palin Ds. Kll.Semulung Ds. Pala Pintas Ds. Kirin Nangka Ds. Ujung Bayur Kec. Bunut Hilir Ds. Bunut Hilir Ds. Bunut Hulu Ds. Teluk Aur Ds. Nanga Tuan Ds. Ujung Pandang Ds. Empangau Ds. Tembang Ds. Bunut Tengah Ds. Entibab Ds. Kapuas Raya Ds. Empangau Hilir Kec. Jongkong Ds. Jongkong Kiri Hilir Ds. Jongkong Kanan Ds. Jongkong Kiri Hulu Ds. Jongkong Pasar Ds. Ujung Said Ds. Temenang Ds. Ujung Jambu Ds. Bontai Ds. Jongkong Kiri Tengah Ds. Jongkong Tanjung Ds. Kandung Suli Ds. Penepian Raya Kec. Selimbau Ds. Gudang Hulu Ds. Gudang Hilir  Ds. Titian Kuala Ds. Dalam Ds. Nibung Ds. Piasak Hilir Ds. Piasak Hulu Ds. Sekulat Ds. Nanga Leboyan Ds. Vega Ds. Mawan Ds. Semalah Ds. Tempurau Kec. Suhaid Ds. Nanga Suhaid Ds. Tanjung Ds. Madang Permai Ds. Laut Tawang Ds. Lubuk Pengail Ds. Tanjung Harapan Kec. Semitau Ds. Semitau Hulu Ds. Semitau Hilir Ds. Nanga Seberuang Ds. Nanga Kenepai Ds. Nanga Lemedak Ds. Marsedan Raya Kec. Silat Hilir Ds. Perigi Ds. Baru Ds. Pangeran Ds. Sentabai Ds. Sei Sena Ds. Bongkong Ds. Nanga Nuar,KAPUAS HULU,KALIMANTAN BARAT,,• Akibat  hujan dengan intesitas tinggi,,,,0,512,2020,9,
8,8,245,6109,2020-09-13,BANJIR,Kec. Sekadau Hilir  Ds.Tanjung Ds. Merapi Kec. Belitang  Ds. Belitang A Ds. Belitang Dua,SEKADAU,KALIMANTAN BARAT,,"• Akibat hujan dengan intesitas tinggi dan adanya Banjir kiriman dari Kab. Sintang, Kab. Melawi dan Kapuas Hullu",,,,0,0,2020,9,
9,9,248,6107,2020-09-13,BANJIR,Kec. Sintang Kec. Dedai Kec. Serawai Kec. Kayan Hulu Kec. Tempunak Kec. Ketungau Hilir Kec. Sepauk Kec. Kayan Hilir,SINTANG,KALIMANTAN BARAT,,• Akibat hujan dengan intensitas tinggi,,,,0,0,2020,9,
