date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-12-11,29,25,0.0,6.0,6,0,05:13 AM,05:37 PM,05:32 AM,05:40 PM,24,31,31,27,6,62,85,0.0,1010,29,10,223,4,pontianak
2015-12-12,32,25,0.0,11.6,7,4,06:04 AM,06:29 PM,05:33 AM,05:40 PM,24,32,32,28,7,49,77,0.0,1009,32,10,232,5,pontianak
2015-12-13,33,24,0.0,11.6,6,12,06:57 AM,07:23 PM,05:33 AM,05:41 PM,24,32,32,28,8,41,78,2.2,1009,33,10,225,5,pontianak
2015-12-14,28,24,0.0,6.0,6,19,07:51 AM,08:16 PM,05:34 AM,05:41 PM,23,30,30,27,9,63,82,2.9,1010,28,10,285,6,pontianak
2015-12-15,30,24,0.0,10.2,6,26,08:44 AM,09:09 PM,05:34 AM,05:42 PM,23,30,30,27,7,51,81,0.4,1010,30,10,271,5,pontianak
2015-12-16,31,24,0.0,10.2,6,33,09:37 AM,10:02 PM,05:35 AM,05:42 PM,23,30,30,27,11,62,80,0.6,1010,31,9,209,7,pontianak
2015-12-17,27,23,0.0,7.4,6,41,10:28 AM,10:53 PM,05:35 AM,05:43 PM,23,27,27,25,16,86,91,4.4,1011,27,10,243,10,pontianak
2015-12-18,24,22,0.0,11.6,6,48,11:20 AM,11:44 PM,05:35 AM,05:43 PM,22,26,26,24,10,54,93,0.0,1011,24,8,62,7,pontianak
2015-12-19,30,24,0.0,8.8,6,55,12:11 PM,No moonset,05:36 AM,05:44 PM,24,31,31,27,9,61,84,3.1,1009,30,9,241,6,pontianak
2015-12-20,30,24,0.0,8.8,6,62,01:03 PM,12:36 AM,05:36 AM,05:44 PM,24,30,30,27,10,62,85,3.0,1009,30,8,237,6,pontianak
2015-12-21,31,24,0.0,10.2,6,70,01:56 PM,01:29 AM,05:37 AM,05:45 PM,24,31,31,27,10,38,82,0.4,1011,31,9,230,7,pontianak
2015-12-22,33,23,0.0,11.6,7,77,02:51 PM,02:22 AM,05:37 AM,05:45 PM,23,31,31,28,7,10,75,0.0,1012,33,8,234,4,pontianak
